Season,Player,Nationality,Team,School/Prior Experience,DP #,DY
1953,Don Meineke, United States,Fort Wayne Pistons,Dayton,12,1952
1954,Ray Felix, United States,Baltimore Bullets,Long Island,1,1953
1955,Bob Pettit, United States,Milwaukee Hawks,LSU,2,1954
1956,Maurice Stokes, United States,Rochester Royals,Saint Francis ,2,1955
1957,Tom Heinsohn, United States,Boston Celtics,Holy Cross,T,1956
1958,Woody Sauldsberry, United States,Philadelphia Warriors,Texas Southern,60,1957
1959,Elgin Baylor, United States,Minneapolis Lakers,Seattle,1,1958
1960,Wilt Chamberlain, United States,Philadelphia Warriors ,"Kansas, Harlem Globetrotters",T,1959
1961,Oscar Robertson, United States,Cincinnati Royals ,Cincinnati,1/T,1960
1962,Walt Bellamy, United States,Chicago Packers ,Indiana,1,1961
1963,Terry Dischinger, United States,Chicago Zephyrs ,Purdue,8,1962
1964,Jerry Lucas, United States,Cincinnati Royals ,Ohio State,T,1962
1965,Willis Reed, United States,New York Knicks,Grambling,8,1964
1966,Rick Barry, United States,San Francisco Warriors ,Miami ,2,1965
1967,Dave Bing, United States,Detroit Pistons ,Syracuse,2,1966
1968,Earl Monroe, United States,Baltimore Bullets ,Winston-Salem State,2,1967
1969,Wes Unseld, United States,Baltimore Bullets ,Louisville,2,1968
1970,Kareem Abdul-Jabbar, United States,Milwaukee Bucks,UCLA,1,1969
1971,Dave Cowens, United States,Boston Celtics ,Florida State,4,1970
1971,Geoff Petrie, United States,Portland Trail Blazers,Princeton,8,1970
1972,Sidney Wicks, United States,Portland Trail Blazers ,UCLA,2,1971
1973,Bob McAdoo, United States,Buffalo Braves,North Carolina ,2,1972
1974,Ernie DiGregorio, United States,Buffalo Braves ,Providence ,3,1973
1975,Jamaal Wilkes, United States,Golden State Warriors ,UCLA ,11,1974
1976,Alvan Adams, United States,Phoenix Suns,Oklahoma ,4,1975
1977,Adrian Dantley, United States,Buffalo Braves ,Notre Dame ,6,1976
1978,Walter Davis, United States,Phoenix Suns ,North Carolina ,5,1977
1979,Phil Ford, United States,Kansas City Kings ,North Carolina ,2,1978
1980,Larry Bird, United States,Boston Celtics ,Indiana State ,6,1978
1981,Darrell Griffith, United States,Utah Jazz,Louisville ,2,1980
1982,Buck Williams, United States,New Jersey Nets,Maryland ,3,1981
1983,Terry Cummings, United States,San Diego Clippers ,DePaul ,2,1982
1984,Ralph Sampson, United States,Houston Rockets,Virginia ,1,1983
1985,Michael Jordan, United States,Chicago Bulls,North Carolina ,3,1984
1986,Patrick Ewing, United States,New York Knicks ,Georgetown ,1,1985
1987,Chuck Person, United States,Indiana Pacers,Auburn ,4,1986
1988,Mark Jackson, United States,New York Knicks ,St. John's ,18,1987
1989,Mitch Richmond, United States,Golden State Warriors ,Kansas State ,5,1988
1990,David Robinson, United States,San Antonio Spurs,Navy ,1,1987
1991,Derrick Coleman, United States,New Jersey Nets ,Syracuse ,1,1990
1992,Larry Johnson, United States,Charlotte Hornets,UNLV ,1,1991
1993,Shaquille O'Neal, United States,Orlando Magic,LSU ,1,1992
1994,Chris Webber, United States,Golden State Warriors ,Michigan ,1,1993
1995,Grant Hill, United States,Detroit Pistons ,Duke ,3,1994
1995,Jason Kidd, United States,Dallas Mavericks,California ,2,1994
1996,Damon Stoudamire, United States,Toronto Raptors,Arizona ,7,1995
1997,Allen Iverson, United States,Philadelphia 76ers,Georgetown ,1,1996
1998,Tim Duncan, United States,San Antonio Spurs ,Wake Forest ,1,1997
1999,Vince Carter, United States,Toronto Raptors ,North Carolina ,5,1998
2000,Elton Brand, United States,Chicago Bulls ,Duke ,1,1999
2000,Steve Francis, United States,Houston Rockets ,Maryland ,2,1999
2001,Mike Miller, United States,Orlando Magic ,Florida ,5,2000
2002,Pau Gasol, Spain,Memphis Grizzlies,FC Barcelona ,3,2001
2003,Amar'e Stoudemire, United States,Phoenix Suns ,Cypress Creek HS ,9,2002
2004,LeBron James, United States,Cleveland Cavaliers,St. Vincentï¿½St. Mary HS ,1,2003
2005,Emeka Okafor, United States,Charlotte Bobcats ,Connecticut ,2,2004
2006,Chris Paul, United States,New Orleans/Oklahoma City Hornets,Wake Forest ,4,2005
2007,Brandon Roy, United States,Portland Trail Blazers ,Washington ,6,2006
2008,Kevin Durant, United States,Seattle SuperSonics,Texas ,2,2007
2009,Derrick Rose, United States,Chicago Bulls ,Memphis ,1,2008
2010,Tyreke Evans, United States,Sacramento Kings ,Memphis ,4,2009
2011,Blake Griffin, United States,Los Angeles Clippers ,Oklahoma ,1,2009
2012,Kyrie Irving, United States,Cleveland Cavaliers ,Duke ,1,2011
2013,Damian Lillard, United States,Portland Trail Blazers ,Weber St. ,6,2012
2014,Michael Carter-Williams, United States,Philadelphia 76ers ,Syracuse ,11,2013
2015,Andrew Wiggins, Canada,Minnesota Timberwolves,Kansas ,1,2014
2016,Karl-Anthony Towns, Dominican Republic,Minnesota Timberwolves ,Kentucky ,1,2015
2017,Malcolm Brogdon, United States,Milwaukee Bucks ,Virginia ,36,2016
2018,Ben Simmons, Australia,Philadelphia 76ers ,LSU ,1,2016
2019,Luka Doncic, Slovenia,Dallas Mavericks ,Real Madrid ,3,2018
2020,Ja Morant, United States,Memphis Grizzlies ,Murray State ,2,2019
2021,LaMelo Ball, United States,Charlotte Hornets ,Illawarra Hawks ,3,2020
2022,Scottie Barnes, United States,Toronto Raptors ,Florida State ,4,2021
2023,Paolo Banchero, United States,Orlando Magic ,Duke ,1,2022
